옵션ID,옵션명,상품명,매출,판매량,주문수,총매출,총판매수,광고비,노출수,클릭수,광고판매수량,마진_상품명,원가,판매가,마진금액,마진율,수수료율,수수료금액
92361401059,"헤몬팜 75W 4대 동시 충전 차량용 고속 충전기 아이폰 차량용 시거잭 (애플+C타입), 블랙",헤몬팜 75W 4대 동시 충전 차량용 고속 충전기 아이폰 차량용 시거잭 (애플+C타입),0,0,0,13260,1,,,,,,,,,,,
92385050745,"헤몬팜 라이트 무선 고압세척기 휴대용 고압세차기 휴대용 충전 고압세척기 풀세트, 1개",헤몬팜 라이트 무선 고압세척기 휴대용 고압세차기 휴대용 충전 고압세척기 풀세트,159560,4,4,159560,4,0.0,0.0,0.0,1.0,"뉴 고압세척기 
배터리 1개",7855.0,39800.0,15046.0,0.378,0.18,7334.0
92385050745,"헤몬팜 라이트 무선 고압세척기 휴대용 고압세차기 휴대용 충전 고압세척기 풀세트, 1개",헤몬팜 라이트 무선 고압세척기 휴대용 고압세차기 휴대용 충전 고압세척기 풀세트,159560,4,4,159560,4,38967.0,35832.0,69.0,1.0,"뉴 고압세척기 
배터리 1개",7855.0,39800.0,15046.0,0.378,0.18,7334.0
92460252254,"헤몬팜 실리콘 방석 쿨방석 차량용 방석 대형, 2개, 블루",헤몬팜 실리콘 방석 쿨방석 차량용 방석 대형,0,0,0,0,0,1010.0,5166.0,6.0,1.0,,,,,,,
92460252264,"헤몬팜 실리콘 방석 쿨방석 차량용 방석 대형, 1개, 블루",헤몬팜 실리콘 방석 쿨방석 차량용 방석 대형,9900,1,1,9900,1,1195.0,4985.0,8.0,1.0,,,,,,,
92548171300,"헤몬팜 라이트 무선 고압세척기 휴대용 고압세차기 휴대용 충전 고압세척기 풀세트, 1개",헤몬팜 라이트 무선 고압세척기 휴대용 고압세차기 휴대용 충전 고압세척기 풀세트,0,0,0,0,0,,,,,,,,,,,
92564409038,"헤몬팜 무선 컷소 전동 톱 전동 전기톱 리튬이온 대용량 배터리 세트, 1개",헤몬팜 무선 컷소 전동 톱 전동 전기톱 리튬이온 대용량 배터리 세트,0,0,0,0,0,,,,,,,,,,,
92582844455,"헤몬팜 무선 컷소 전동 톱 전동 전기톱 리튬이온 대용량 배터리 세트, 1개",헤몬팜 무선 컷소 전동 톱 전동 전기톱 리튬이온 대용량 배터리 세트,449010,9,9,498900,10,0.0,0.0,0.0,1.0,컷소 배터리 1개,12170.0,49890.0,20699.0,0.415,0.17,8716.0
92582844455,"헤몬팜 무선 컷소 전동 톱 전동 전기톱 리튬이온 대용량 배터리 세트, 1개",헤몬팜 무선 컷소 전동 톱 전동 전기톱 리튬이온 대용량 배터리 세트,449010,9,9,498900,10,74765.0,34368.0,135.0,7.0,컷소 배터리 1개,12170.0,49890.0,20699.0,0.415,0.17,8716.0
92582844462,"헤몬팜 무선 컷소 전동 톱 전동 전기톱 리튬이온 대용량 배터리 세트, 2개",헤몬팜 무선 컷소 전동 톱 전동 전기톱 리튬이온 대용량 배터리 세트,579800,10,10,695760,12,46296.0,31079.0,99.0,4.0,컷소 배터리 2개,12170.0,57980.0,23615.0,0.407,0.16,9347.0
